skill_name,source_kind,created_at,created_by,updated_at,updated_by,lifecycle,profiles,validation,notes
recursive-decision-ledger,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
redis-patterns,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
scholar-evaluation,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
shipping-and-launch,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,addyosmani-agent-skills MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
skill-scout,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
social-publisher,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
source-driven-development,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,addyosmani-agent-skills MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
spec-driven-development,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,addyosmani-agent-skills MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
taste,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
team-agent-orchestration,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
tinystruct-patterns,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
ui-to-vue,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
uncloud,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
using-agent-skills,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,addyosmani-agent-skills MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
uspto-database,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
vite-patterns,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
vue-patterns,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
windows-desktop-e2e,upstream-adapted,2026-07-17,Codex GPT-5.6 Sol,2026-07-17,Codex GPT-5.6 Sol,active,unassigned,target self-audit and Test-AgentSet passed,ecc-everything-claude-code MIT sourceをCodex/Windows/approval契約へ私用編集し、domain guideをprogressive disclosureで保持
