"No","スキル名","タスクの分類","重要度（pj-generalでの推定）","タスク難易度（pj-generalでの推定）","使用頻度（pj-generalでの推定）","行数","主対象言語・技術","残す判断","旧残す判断","判断理由","最新技術依存","最新性メモ","改善優先度","高品質化状態","優先度理由","高品質化コメント"
"82","frontend-slides","フロントエンド・UI検証","低","中","低","183","言語非依存/ドメイン別","残す","保留","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 保留。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
"83","gan-style-harness","エージェント運用・評価","低","高","低","276","言語非依存/ドメイン別","残す","保留","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 保留。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
"84","github-ops","運用・外部連携","高","中","中","143","GitHub","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","高","フレームワーク/API/DB/セキュリティ/実装例の更新で内容が陳腐化しやすい","C","未着手","横断skillだがA/B条件外",""
"85","git-workflow","運用・外部連携","高","中","中","82","Git","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","高","フレームワーク/API/DB/セキュリティ/実装例の更新で内容が陳腐化しやすい","C","完了","横断skillだがA/B条件外","dirty worktreeとuser変更を保護し、明示path staging、history rewrite/remote write承認、raw remote URL非出力を追加。"
"86","golang-patterns","言語・フレームワーク別実装","低","高","低","673","Go","残す","不要候補","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 不要候補。重要度/頻度/難易度は今後の修正優先度として利用。","高","フレームワーク/API/DB/セキュリティ/実装例の更新で内容が陳腐化しやすい","D","未着手","言語・framework専用のため後順位",""
"87","golang-testing","テスト・検証","低","中","低","719","Go","残す","不要候補","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 不要候補。重要度/頻度/難易度は今後の修正優先度として利用。","高","フレームワーク/API/DB/セキュリティ/実装例の更新で内容が陳腐化しやすい","D","未着手","言語・framework専用のため後順位",""
"88","google-workspace-ops","運用・外部連携","高","中","中","94","Google Workspace","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","高","フレームワーク/API/DB/セキュリティ/実装例の更新で内容が陳腐化しやすい","C","未着手","横断skillだがA/B条件外",""
"89","healthcare-cdss-patterns","業務ドメイン知識","低","中","低","243","言語非依存/ドメイン別","残す","確認待ち","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 確認待ち。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
"90","healthcare-emr-patterns","業務ドメイン知識","低","中","低","157","言語非依存/ドメイン別","残す","確認待ち","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 確認待ち。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
"91","healthcare-eval-harness","テスト・検証","低","中","低","205","言語非依存/ドメイン別","残す","保留","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 保留。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
"92","healthcare-phi-compliance","セキュリティ・安全性","低","高","低","143","言語非依存/ドメイン別","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
"93","hexagonal-architecture","API・バックエンド実装","高","高","中","275","言語非依存/ドメイン別","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","B","未着手","重要度高かつ使用頻度または難易度が高",""
"94","hipaa-compliance","セキュリティ・安全性","低","高","低","76","言語非依存/ドメイン別","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
"95","hookify-rules","運用・外部連携","低","中","低","128","言語非依存/ドメイン別","残す","保留","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 保留。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
"96","inventory-demand-planning","業務ドメイン知識","低","中","低","239","言語非依存/ドメイン別","残す","確認待ち","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 確認待ち。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
"97","investor-materials","コンテンツ・発信","低","中","低","95","言語非依存/ドメイン別","残す","確認待ち","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 確認待ち。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
"98","investor-outreach","コンテンツ・発信","低","中","低","90","言語非依存/ドメイン別","残す","確認待ち","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 確認待ち。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
"99","iterative-retrieval","ウェブ検索・外部調査","中","中","中","210","言語非依存/ドメイン別","残す","保留","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 保留。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
"100","java-coding-standards","言語・フレームワーク別実装","低","高","低","146","Java/Spring","残す","不要候補","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 不要候補。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","D","未着手","言語・framework専用のため後順位",""
"101","jira-integration","運用・外部連携","低","中","低","292","言語非依存/ドメイン別","残す","保留","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 保留。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
"102","jpa-patterns","言語・フレームワーク別実装","低","高","低","150","Java/Spring","残す","不要候補","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 不要候補。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","D","未着手","言語・framework専用のため後順位",""
"103","knowledge-ops","運用・外部連携","高","中","中","73","Knowledge management","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","中","原則やワークフロー中心だが、ツール名や実行例は更新影響を受ける","C","完了","横断skillだがA/B条件外","PJ内正本、task/handoff、横断knowledge-vault、secret非保存を分離し、転記判断をpolicy準拠化。"
"104","kotlin-coroutines-flows","言語・フレームワーク別実装","低","高","低","283","Kotlin/Android","残す","不要候補","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 不要候補。重要度/頻度/難易度は今後の修正優先度として利用。","高","フレームワーク/API/DB/セキュリティ/実装例の更新で内容が陳腐化しやすい","D","未着手","言語・framework専用のため後順位",""
"105","kotlin-exposed-patterns","言語・フレームワーク別実装","低","高","低","718","Kotlin/Android","残す","不要候補","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 不要候補。重要度/頻度/難易度は今後の修正優先度として利用。","高","フレームワーク/API/DB/セキュリティ/実装例の更新で内容が陳腐化しやすい","D","未着手","言語・framework専用のため後順位",""
"106","kotlin-ktor-patterns","言語・フレームワーク別実装","低","高","低","688","Kotlin/Android","残す","不要候補","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 不要候補。重要度/頻度/難易度は今後の修正優先度として利用。","高","フレームワーク/API/DB/セキュリティ/実装例の更新で内容が陳腐化しやすい","D","未着手","言語・framework専用のため後順位",""
"107","kotlin-patterns","言語・フレームワーク別実装","低","高","低","710","Kotlin/Android","残す","不要候補","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 不要候補。重要度/頻度/難易度は今後の修正優先度として利用。","高","フレームワーク/API/DB/セキュリティ/実装例の更新で内容が陳腐化しやすい","D","未着手","言語・framework専用のため後順位",""
"108","kotlin-testing","テスト・検証","低","中","低","823","Kotlin/Android","残す","不要候補","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 不要候補。重要度/頻度/難易度は今後の修正優先度として利用。","高","フレームワーク/API/DB/セキュリティ/実装例の更新で内容が陳腐化しやすい","D","未着手","言語・framework専用のため後順位",""
"109","laravel-patterns","言語・フレームワーク別実装","低","高","低","414","PHP/Laravel","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","高","フレームワーク/API/DB/セキュリティ/実装例の更新で内容が陳腐化しやすい","D","未着手","言語・framework専用のため後順位",""
"110","laravel-plugin-discovery","言語・フレームワーク別実装","低","高","低","228","PHP/Laravel","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","D","未着手","言語・framework専用のため後順位",""
"111","laravel-security","セキュリティ・安全性","低","高","低","284","PHP/Laravel","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","高","フレームワーク/API/DB/セキュリティ/実装例の更新で内容が陳腐化しやすい","D","未着手","言語・framework専用のため後順位",""
"112","laravel-tdd","テスト・検証","低","中","低","282","PHP/Laravel","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","高","フレームワーク/API/DB/セキュリティ/実装例の更新で内容が陳腐化しやすい","D","未着手","言語・framework専用のため後順位",""
"113","laravel-verification","テスト・検証","低","中","低","178","PHP/Laravel","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","高","フレームワーク/API/DB/セキュリティ/実装例の更新で内容が陳腐化しやすい","D","未着手","言語・framework専用のため後順位",""
"114","lead-intelligence","ウェブ検索・外部調査","中","中","中","320","言語非依存/ドメイン別","残す","保留","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 保留。重要度/頻度/難易度は今後の修正優先度として利用。","中","原則やワークフロー中心だが、ツール名や実行例は更新影響を受ける","C","未着手","横断skillだがA/B条件外",""
"115","liquid-glass-design","フロントエンド・UI検証","低","中","低","279","言語非依存/ドメイン別","残す","確認待ち","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 確認待ち。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
"116","llm-trading-agent-security","セキュリティ・安全性","低","高","低","144","言語非依存/ドメイン別","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
"117","logistics-exception-management","業務ドメイン知識","低","中","低","214","言語非依存/ドメイン別","残す","確認待ち","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 確認待ち。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
"118","manim-video","コンテンツ・発信","低","中","低","88","言語非依存/ドメイン別","残す","確認待ち","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 確認待ち。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
"119","market-research","ウェブ検索・外部調査","高","中","中","74","言語非依存/ドメイン別","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","中","原則やワークフロー中心だが、ツール名や実行例は更新影響を受ける","C","未着手","横断skillだがA/B条件外",""
"120","mcp-server-patterns","API・バックエンド実装","高","高","中","68","MCP","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","高","フレームワーク/API/DB/セキュリティ/実装例の更新で内容が陳腐化しやすい","B","未着手","重要度高かつ使用頻度または難易度が高",""
"121","messages-ops","API・バックエンド実装","中","高","中","103","言語非依存/ドメイン別","残す","保留","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 保留。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
"122","monorepo-boundary-review","リポジトリ調査・ファイル操作","高","高","中","35","言語非依存/モノレポ","残す","新規追加","Codex / pj-general級の不足領域を補うv1追加skill。母集団として保持し、PJ profileで採択する。","低","境界設計原則中心","B","完了","重要度高かつ使用頻度または難易度が高","package名ではなく責務・data ownership・runtime・依存方向・将来分割でmonorepo境界を評価する手順を追加。"
"123","nanoclaw-repl","言語・フレームワーク別実装","低","高","低","32","言語非依存/ドメイン別","残す","確認待ち","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 確認待ち。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
"124","nestjs-patterns","API・バックエンド実装","低","高","低","229","NestJS/TypeScript","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","高","フレームワーク/API/DB/セキュリティ/実装例の更新で内容が陳腐化しやすい","D","未着手","言語・framework専用のため後順位",""
"125","nextjs-turbopack","フロントエンド・UI検証","高","中","高","43","Next.js/TypeScript","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","高","フレームワーク/API/DB/セキュリティ/実装例の更新で内容が陳腐化しやすい","D","未着手","言語・framework専用のため後順位",""
"126","nodejs-keccak256","API・バックエンド実装","低","高","低","100","Node.js/JavaScript","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","D","未着手","言語・framework専用のため後順位",""
"127","nutrient-document-processing","業務ドメイン知識","低","中","低","166","言語非依存/ドメイン別","残す","確認待ち","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 確認待ち。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
"128","nuxt4-patterns","フロントエンド・UI検証","低","中","低","99","Nuxt/Vue/TypeScript","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","高","フレームワーク/API/DB/セキュリティ/実装例の更新で内容が陳腐化しやすい","D","未着手","言語・framework専用のため後順位",""
"129","openclaw-persona-forge","エージェント運用・評価","低","高","低","295","言語非依存/ドメイン別","残す","保留","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 保留。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
"130","opensource-pipeline","運用・外部連携","中","中","中","254","言語非依存/ドメイン別","残す","保留","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 保留。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
"131","oss-adoption-planning","ウェブ検索・外部調査","高","高","中","30","言語非依存/OSS統合","残す","新規追加","Codex / pj-general級の不足領域を補うv1追加skill。母集団として保持し、PJ profileで採択する。","高","候補OSSの現行仕様・license・release確認が必要","B","完了","重要度高かつ使用頻度または難易度が高","reuse/adopt/wrap/build判断にdata authority・運用負担・version・exit/rollbackを含める採用計画へ変更。"
"132","perl-patterns","言語・フレームワーク別実装","低","高","低","503","Perl","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","高","フレームワーク/API/DB/セキュリティ/実装例の更新で内容が陳腐化しやすい","D","未着手","言語・framework専用のため後順位",""
"133","perl-security","セキュリティ・安全性","低","高","低","502","Perl","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","高","フレームワーク/API/DB/セキュリティ/実装例の更新で内容が陳腐化しやすい","D","未着手","言語・framework専用のため後順位",""
"134","perl-testing","テスト・検証","低","中","低","474","Perl","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","高","フレームワーク/API/DB/セキュリティ/実装例の更新で内容が陳腐化しやすい","D","未着手","言語・framework専用のため後順位",""
"135","permission-modeling","セキュリティ・安全性","高","高","中","31","言語非依存/認可設計","残す","新規追加","Codex / pj-general級の不足領域を補うv1追加skill。母集団として保持し、PJ profileで採択する。","低","認可モデル原則中心","B","完了","重要度高かつ使用頻度または難易度が高","actor/resource/action/scope、tenant・organization・delegation、default deny、enforcement、auditを明示する権限モデルを追加。"
"136","plankton-code-quality","テスト・検証","低","中","低","235","言語非依存/ドメイン別","残す","保留","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 保留。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
"137","postgres-patterns","データ・DB・AI基盤","高","高","高","50","PostgreSQL/SQL","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","高","フレームワーク/API/DB/セキュリティ/実装例の更新で内容が陳腐化しやすい","A","完了","使用頻度高×難易度高。SQL必要枠","一律の型/index/pagination/RLS推奨を廃止し、target version・query/workload・EXPLAIN実測・pool/RLS境界に基づくSQL/runtime設計へ再設計。"
"138","product-capability","作業チャンク化・計画","高","中","高","80","Planning","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","B","完了","重要度高かつ使用頻度または難易度が高","PRDと実装planの間にcapability・invariant・interface・state・未決判断の契約とanalysis-only出力を追加。"
"139","production-scheduling","業務ドメイン知識","低","中","低","230","言語非依存/ドメイン別","残す","確認待ち","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 確認待ち。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
"140","product-lens","作業チャンク化・計画","高","低","高","91","Product planning","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","B","未着手","重要度高かつ使用頻度または難易度が高",""
"141","project-flow-ops","運用・外部連携","高","中","中","110","GitHub/Linear","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","中","原則やワークフロー中心だが、ツール名や実行例は更新影響を受ける","C","未着手","横断skillだがA/B条件外",""
"142","prompt-optimizer","プロンプト・LLM最適化","高","中","中","393","Prompt/LLM","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","中","原則やワークフロー中心だが、ツール名や実行例は更新影響を受ける","C","未着手","横断skillだがA/B条件外",""
"143","prp-create-plan","作業チャンク化・計画","高","高","高","31","言語非依存/Codex PRP","残す","新規追加","Codex / pj-general級の不足領域を補うv1追加skill。母集団として保持し、PJ profileで採択する。","中","Codexのplan artifactとPJ構造に依存","A","完了","使用頻度高×難易度高の横断skill","実在codebase・PJ正本・依存関係から実装slice、順序、停止条件、検証を作るCodex PRP planへ移行。"
"144","prp-create-prd","作業チャンク化・計画","高","高","中","32","言語非依存/Codex PRP","残す","新規追加","Codex / pj-general級の不足領域を補うv1追加skill。母集団として保持し、PJ profileで採択する。","中","CodexのPRD下書き運用とdocs正本分離に依存","B","完了","重要度高かつ使用頻度または難易度が高","problem・actor・outcome・制約・未決判断を分離し、実装詳細を早期固定しないPRD skillへ移行。"
"145","prp-implement-plan","作業チャンク化・計画","高","高","高","52","言語非依存/Codex PRP","残す","新規追加","Codex / pj-general級の不足領域を補うv1追加skill。母集団として保持し、PJ profileで採択する。","中","Codexの検証・進行管理運用に依存","A","完了","使用頻度高×難易度高の横断skill","承認済みplanをslice単位で実装・検証し、task・decision・completion・handoffを同期するworkflowへ移行。"
"146","python-patterns","言語・フレームワーク別実装","低","高","低","749","Python","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","高","フレームワーク/API/DB/セキュリティ/実装例の更新で内容が陳腐化しやすい","D","未着手","言語・framework専用のため後順位",""
"147","python-testing","テスト・検証","低","中","低","815","Python","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","高","フレームワーク/API/DB/セキュリティ/実装例の更新で内容が陳腐化しやすい","D","未着手","言語・framework専用のため後順位",""
"148","pytorch-patterns","データ・DB・AI基盤","低","高","低","395","Python/PyTorch","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","高","フレームワーク/API/DB/セキュリティ/実装例の更新で内容が陳腐化しやすい","D","未着手","言語・framework専用のため後順位",""
"149","quality-nonconformance","テスト・検証","低","中","低","252","言語非依存/ドメイン別","残す","保留","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 保留。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
"150","ralphinho-rfc-pipeline","エージェント運用・評価","中","高","中","66","言語非依存/ドメイン別","残す","保留","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 保留。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
"151","regex-vs-llm-structured-text","プロンプト・LLM最適化","中","中","中","219","言語非依存/ドメイン別","残す","保留","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 保留。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
"152","remotion-video-creation","フロントエンド・UI検証","低","中","低","41","言語非依存/ドメイン別","残す","確認待ち","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 確認待ち。重要度/頻度/難易度は今後の修正優先度として利用。","高","フレームワーク/API/DB/セキュリティ/実装例の更新で内容が陳腐化しやすい","C","未着手","横断skillだがA/B条件外",""
"153","repo-scan","リポジトリ調査・ファイル操作","高","中","中","63","言語非依存/ドメイン別","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","中","原則やワークフロー中心だが、ツール名や実行例は更新影響を受ける","C","完了","横断skillだがA/B条件外","source ownership、vendored/generated、workspace境界、構造riskをread-onlyで監査する汎用repo scanへ変更。"
"154","research-ops","ウェブ検索・外部調査","高","低","高","111","Research workflow","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","中","原則やワークフロー中心だが、ツール名や実行例は更新影響を受ける","B","未着手","重要度高かつ使用頻度または難易度が高",""
"155","returns-reverse-logistics","業務ドメイン知識","低","中","低","232","言語非依存/ドメイン別","残す","確認待ち","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 確認待ち。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
"156","rules-distill","リポジトリ調査・ファイル操作","高","中","中","263","言語非依存/ドメイン別","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
"157","rust-patterns","言語・フレームワーク別実装","低","高","低","498","Rust","残す","不要候補","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 不要候補。重要度/頻度/難易度は今後の修正優先度として利用。","高","フレームワーク/API/DB/セキュリティ/実装例の更新で内容が陳腐化しやすい","D","未着手","言語・framework専用のため後順位",""
"158","rust-testing","テスト・検証","低","中","低","499","Rust","残す","不要候補","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 不要候補。重要度/頻度/難易度は今後の修正優先度として利用。","高","フレームワーク/API/DB/セキュリティ/実装例の更新で内容が陳腐化しやすい","D","未着手","言語・framework専用のため後順位",""
"159","safety-guard","セキュリティ・安全性","高","高","中","70","言語非依存/ドメイン別","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","中","原則やワークフロー中心だが、ツール名や実行例は更新影響を受ける","B","完了","重要度高かつ使用頻度または難易度が高","実在sandbox・approval・権限を使うdestructive/external/privileged gateとProceed/Needs approval/Stop出力を追加。"
"160","santa-method","エージェント運用・評価","中","高","中","305","言語非依存/ドメイン別","残す","保留","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 保留。重要度/頻度/難易度は今後の修正優先度として利用。","中","原則やワークフロー中心だが、ツール名や実行例は更新影響を受ける","C","未着手","横断skillだがA/B条件外",""
"161","search-first","ウェブ検索・外部調査","高","低","高","79","Research workflow","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","中","原則やワークフロー中心だが、ツール名や実行例は更新影響を受ける","B","完了","重要度高かつ使用頻度または難易度が高","repo内再利用を先に調べ、現行一次資料からreuse/adopt/wrap/compose/buildを比較するworkflowへ変更。"
"162","security-bounty-hunter","セキュリティ・安全性","低","高","低","97","言語非依存/ドメイン別","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
